objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,tip_serv,dias_oper,tip_hor,tipo_oper,ruta_rural,globalid,shape_Length
2860,USA,T21,Clínica Corpas- Cantón Norte,Clínica Corpas-Conejera,Canton Norte,30/06/2015,11,11,47.91533063,CONSORCIO EXPRESS USAQUEN N,7397,T21-3,3,3,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{0DA5D480-C436-4E54-9B09-724006439070},47915.3306283485
2862,COM,19-11,Canódromo,Canodromo,Prado Veraniego,23/11/2015,11,11,3.39943909,MASIVO CAPITAL SO,6068,19-11c,2,2,4:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:30 p. m.,1,5,2,3,1,2,3,{0E061EAF-7BEA-45DD-B1BA-F4B267897F5B},3399.43908941167
2864,ALI,11-5,Av. Cali,Portal Suba,Avenida Cali,6/03/2021,11,11,5.54181518,ESTE ES MI BUS CALLE 80 CO01,5404,11-5a,3,3,4:00 a. m. - 12:30 a. m.,5:00 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{0E253C91-775D-484D-BBE5-9FD3D29CA5A8},5541.81518402089
2865,HHH,HA706,El Uval- San Diego,San Diego,El Uval,16/01/2021,3,5,23.27676767,GRAN AMERICAS USME III,11828,H706-2,12,0,5:30 a. m. - 11:30 p. m.,5:30 a. m. - 11:30 p. m.,6:00 a. m. - 11:00 p. m.,1,3,1,3,1,2,3,{0E29D1AB-EEA3-4A0F-942B-1ADEDDBA0055},23276.7676722162
2867,HHH,CH131,Bilbao - Diana Turbay,Bilbao,Diana Turbay,21/08/2021,11,18,34.43830688,EMASIVO 10 ST,10309,H131-1,12,3,3:30 a. m. - 10:00 p. m.,4:00 a. m. - 9:30 p. m.,4:00 a. m. - 9:30 p. m.,1,4,1,3,1,2,3,{0E473840-BAEE-4CE5-84AA-CA0F18F4479B},34438.3068813182
2870,ALI,13-10,Villa Del Cerro,Portal 20 Julio,Villa Del Cerro,22/02/2014,4,4,8.18653085,CONSORCIO EXPRESS SAN CRISTOBALD,12325,13-10a,13,13,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{0EEE4868-A69E-4209-8B8A-F7C57931C4C8},8186.53085387068
2872,ALI,13-13,Resurrección,Portal 20 Julio,Resurrección,7/12/2013,4,4,8.32945438,CONSORCIO EXPRESS SAN CRISTOBALD,11005,13-13a,13,13,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:20 p. m.,1,4,2,3,1,2,3,{1018D8D4-BC84-4FA0-ADD8-9FCB4FC2D8DD},8329.45437743208
2874,COM,18-3,Autonorte Est. Terminal - Germania,Autonorte Est. Terminal,Germania,26/10/2013,3,3,47.07038431,CONSORCIO EXPRESS USAQUEN N,7892,18-3c,0,0,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{104249B4-6995-4825-BBCC-7D7F6E6736AB},47070.3843085953
2875,ALI,8-2,Kennedy Hospital,Banderas,Kennedy Hospital,17/02/2014,8,8,6.42248467,MASIVO CAPITAL KE,10947,8-2a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{10B63EC0-8B08-4754-8A52-56B73B147661},6422.48467362276
2876,BOS,P7,Pinares - Porvenir,Pinares,Porvenir,11/10/2014,8,4,26.6834003,MASIVO CAPITAL KE,7623,P7-1,8,13,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{10C80FD4-C798-4F18-8785-64B3DE63811E},26683.4003040336
2877,H,HL613,Perdomo - Horacio Orjuela,Horacio Orjuela,Perdomo,26/11/2022,4,19,19.42754698,ODT LA ROLITA,10255,H613-1,10,13,3:00 a. m. - 10:00 p. m.,3:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{111C7AC9-3C42-4064-ACB1-BA98146B1D72},19427.5469794047
2878,FFF,FF424,Favidi,Banderas,Favidi,05/12/2022,8,8,9.73132074,ESTE ES MI BUS TINTAL TZ,7717,FF424-3,7,7,4:30 a. m. - 9:00 a. m.,,,1,3,2,1,1,2,3,{116E861E-2465-4D04-AE1D-CA713CD46315},9731.32073992704
2883,CCC,CF154,Suba Nogales - Puente Aranda,Puente Aranda,Suba Nogales,4/09/2021,16,11,19.22765831,EMASIVO 16 SF,10271,C154-2,3,7,4:00 a. m. - 8:00 p. m.,5:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:30 p. m.,1,4,1,3,1,2,3,{127BDC3C-16DA-4D50-B66F-C6B002BC9562},19227.6583114721
2887,ALI,7-1,Uribe Uribe,Calle 40 Sur,Uribe Uribe,22/05/2021,18,18,5.21259541,E-SOMOS ALIMENTACION,10378,7-1-1a,12,12,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,4,2,3,3,2,3,{13FE24DE-5C85-406B-B05E-7D13565CAE1D},5212.59540765616
2888,ALI,6-4,Paraíso,Portal Tunal,Paraiso,26/03/2015,6,6,14.11497278,SUMA CIUDAD BOLIVAR BC,12354,6-4a,11,11,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{146E58D7-A90E-467C-8441-0BD840F53C08},14114.9727840883
2890,ENG,SE14,Diana Turbay Cultivos - Engativá Centro,Diana Turbay Cultivos,Engativá Centro,2/03/2014,18,10,37.31028866,GMOVIL ENGATIVA E,10668,SE14-1,5,12,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,Operativa,3,1,3,1,2,3,{14BFA42B-EFEC-42D1-A870-31E5F8BE31C9},37310.2990497409
2891,ALI,9-1,Casablanca,Portal Americas,Casablanca,17/02/2014,8,8,6.97137355,MASIVO CAPITAL KE,12304,9-1a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{14DDDE12-3520-4B77-A8A8-1A6309D322F7},6971.37354634532
2892,COL,T62,Metrovivienda - Casablanca,Metrovivienda,Casablanca,25/11/2019,7,11,41.44318327,MASIVO CAPITAL SO,8161,T62-1,3,8,4:00 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{15586CD0-3AAD-4B58-83D3-D78D4313FD32},41443.1832747128
2901,ALI,4-3,Molinos,Molinos,Molinos II,22/05/2021,18,18,6.29519458,E-SOMOS ALIMENTACION,12464,4-3a,12,12,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{188241D5-3833-4C33-8534-CA97E33AF7B5},6295.19457763961
2904,LLL,KL312,Fontibón Brisas - Moralba,Fontibón Brisas,Moralba,11/05/2022,9,4,27.57633706,GMOVIL ENGATIVA E,10387,L312-2,13,6,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{19F19108-CAF8-4E8F-94DE-D065CF6870A7},27576.3370551518
2906,ALI,13-9,Tihuaque,Portal 20 Julio,Tihuaque,7/08/2013,4,4,21.78056652,CONSORCIO EXPRESS SAN CRISTOBALD,10996,13-9a,13,13,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{1AE4E62E-B91B-44D4-A51E-BC2493877C8D},21780.5665169216
2907,BBB,BB924,Guaymaral,Portal Norte,Guaymaral,23/05/2022,1,1,13.80995176,CONSORCIO EXPRESS USAQUEN N,11002,B924-3,2,2,4:30 a. m. - 8:30 p. m.,6:00 a. m. - 8:00 p. m.,6:00 a. m. - 6:00 p. m.,1,3,2,3,1,2,3,{1B1CB82B-D869-48DF-8A51-7D1F0B0EC053},13809.9517596745
2908,GGG,DG208,Puente De Guadua - Metrovivienda,Puente De Guadua,Metrovivienda,7/08/2021,7,10,30.23314835,EMASIVO 10 ST,11578,G208-2,8,4,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{1B48B50C-5036-4A60-8B38-7E851A23BE45},30233.1483490136
2909,CCC,KC323,El Recodo - Suba Compartir,El Recodo,Suba Compartir,12/02/2022,9,11,23.46149606,MUEVE FONTIBON,12154,C323-1,3,7,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{1B5263EB-A076-4CFB-8039-1B4D1EFB4862},23461.4960640598
2912,ALI,1-3,Villas De Granada,Portal 80,Villas De Granada,26/03/2015,10,10,5.64259169,ESTE ES MI BUS CALLE 80 CO01,11015,1-3a,4,4,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{1C8F6B9A-A86C-4EBA-AC52-2113BC9AFDB3},5642.5916850787
2915,LLL,LK810,Fontibón Brisas - Gaviotas,Fontibón Brisas,Gaviotas,25/10/2021,4,9,29.625801,CONSORCIO EXPRESS SAN CRISTOBALD,8567,L810-2,13,6,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:30 p. m.,5:30 a. m. - 9:30 p. m.,1,4,1,3,1,2,3,{1EC7A1CB-9990-4AA7-AEFB-22C88F4F9A87},29625.8009969716
2916,CHA,T06,La Sureña - Porciúncula,La Surena,Porciuncula,23/02/2014,2,2,16.68923457,CONSORCIO EXPRESS USAQUEN N,8359,T06-3,0,0,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,2,3,1,2,3,{1F32CEB0-32E7-44EA-BBD0-FAC930EA92BD},16689.2345701338
2917,BOS,576,Bosa Santa Fe - Engativá,Engativá,Bosa Santa Fe,26/03/2014,10,8,34.31194565,MASIVO CAPITAL KE,8453,576-2,8,5,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,5,1,3,1,2,3,{1F440BAA-27E9-4F08-9917-02CCC0F4BCCA},34311.9456461792
2925,ESP,18-11_PM,Unicerros - Unicentro Pm,Unicerros,Unicerros, ,1,1,5.42867329,CONSORCIO EXPRESS USAQUEN N,8178,18-11e PM,1,1,4:30 a. m. - 10:00 p. m.,4:30 a. m. - 10:00 p. m.,12:00 p. m. - 9:00 p. m.,1,5,4,3,4,2,3,{220C01FF-37DD-46D0-BFAD-385559D75D88},5428.67329388253
2926,ALI,10-5,Terminal Sur,Portal Sur,Terminal Sur,26/03/2015,7,7,5.41926091,ETIB BO,10917,10-5a,9,9,4:00 a. m. - 10:30 p. m.,4:00 a. m. - 10:30 p. m.,4:00 a. m. - 10:00 p. m.,1,3,2,3,1,2,3,{223BC3C1-7EAF-47A7-9B76-964A0784B875},5419.26090533155
2929,ESP,14-6,El Verjón - Est. Bicentenario,El Verjon,Est. Bicentenario,2/12/2013,3,3,35.22156292,CONSORCIO EXPRESS SAN CRISTOBALD,7977,14-6e,8,0,5:00 a. m. - 7:30 p. m.,5:00 a. m. - 7:30 p. m.,7:15 a. m. - 7:15 p. m.,1,5,4,3,1,2,3,{234A88B2-15F4-4C31-99BA-BEF75C6C66FC},35221.5629210854
2930,DDD,DG208,Puente De Guadua - Metrovivienda,Metrovivienda,Puente De Guadua,7/08/2021,7,10,31.43025195,EMASIVO 10 ST,12417,D208-1,4,8,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{23A9742B-D01A-4AB1-9718-D69495400B85},31430.2519454744
2932,COM,13-2,Providencia Alta - Est. Av. 1 De Mayo,Providencia Alta,Est. Av. 1 De Mayo,3/09/2014,4,4,12.14602195,CONSORCIO EXPRESS USAQUEN N,7546,13-2c,13,13,3:30 a. m. - 11:00 p. m.,3:30 a. m. - 11:00 p. m.,4:30 a. m. - 10:00 p. m.,1,5,2,3,1,2,3,{2574FF8F-80A0-48B9-B636-5171F8EBEE4F},12146.0219499017
2938,ALI,16-5,Villa Amalia,Portal El Dorado,Villa Amalia,6/06/2012,10,10,16.96191441,GMOVIL ENGATIVA E,6223,16-5a,5,5,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{2843C1FD-658F-4B80-9DF9-A5B5E6DD22A9},16961.914413664
2940,KKK,KH308,Puente Grande - El Tuno,El Tuno,Puente Grande,21/06/2021,9,5,28.73539561,GMOVIL ENGATIVA E,11204,K308-1,6,12,3:00 a. m. - 9:30 p. m.,3:00 a. m. - 9:30 p. m.,4:30 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{28C810B4-43DC-470F-8159-0E81E6FA85E8},28735.3956052224
2941,BBB,CB100,Casablanca - Alcalá,Est. Alcala,Casablanca,18/05/2020,11,11,8.75684219,MASIVO CAPITAL SO,6177,CB100-3,3,3,5:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,2,3,1,2,3,{28E83F92-0713-4517-9664-8439729CC2DF},8756.8421865966
2953,GGG,GG536,Sena - Est. Santa Isabel,Sena,Santa Isabel,17/11/2023,16,16,3.32703894,MASIVO CAPITAL KE,7968,G536-3,8,8,4:30 a. m. - 11:00 p. m.,5:00 a. m. - 9:00 p. m.,6:00 a. m. - 8:00 p. m.,1,5,1,3,1,2,3,{2BFE4273-D272-4489-B942-EFB005A594BF},3327.03893929361
2954,ALI,13-12,Los Libertadores,Portal 20 Julio,Los Libertadores,1/06/2013,4,4,15.09921144,CONSORCIO EXPRESS SAN CRISTOBALD,11008,13-12a,13,13,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{2C5A97C9-9724-4D6D-B533-677126FECF6D},15099.2114376921
2957,HHH,HH638,Arabia - Est. Juan Pablo II,Arabia,Est. Juan Pablo II,21/11/2022,19,19,6.49184456,SUMA CIUDAD BOLIVAR BC,10463,HH638-3,11,11,4:15 a. m. - 8:15 p. m.,,,1,5,2,1,1,2,3,{2C9BAD8C-8DE7-4942-AB53-6C63907E9711},6491.84456002579
2959,ALI,11-7,Pinar,Portal Suba,Pinar,6/03/2021,11,11,5.20146067,ESTE ES MI BUS CALLE 80 CO01,5406,11-7a,3,3,4:30 a. m. - 12:30 a. m.,5:00 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{2CCB6F33-147D-4718-9138-BE4B4E598917},5201.46066514622
2963,CEN,143,Compartir - Germania,Compartir,Germania,15/06/2013,19,19,39.24309055,SUMA CIUDAD BOLIVAR BC,5435,143-3,11,11,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 7:00 p. m.,7:00 a. m. - 6:00 p. m.,1,3,1,3,1,2,3,{2D25C926-48F6-48F0-B0FE-6F27610245E3},39243.0905493616
2965,CCC,CC159,Suba Pueblo - Villa Cindy,Villa Cindy,Suba Pueblo,18/04/2022,11,11,15.1797124,MASIVO CAPITAL SO,7333,C159-3,3,3,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,1,5,2,3,1,2,3,{2D428065-BFC5-487F-9124-7C73D132D0B5},15179.7124030386
2975,HHH,HH710,El Progreso - Portal Usme,Portal Usme,El Progreso,17/07/2021,5,5,13.15456284,GRAN AMERICAS USME III,10004,HH710-3,12,12,3:40 a. m. - 12:30 a. m.,3:40 a. m. - 12:30 a. m.,3:40 a. m. - 11:30 p. m.,1,4,2,3,1,2,3,{307B3FB1-8C59-4E52-8766-C11B45385C20},13154.5628417229
2979,LLL,LA821,Universidades - Bicentenario,Bicentenario,Universidades,29/05/2023,3,3,17.68700124,CONSORCIO EXPRESS SAN CRISTOBALD,8035,LA821-3,13,13,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,2,3,1,2,3,{325694B1-7F8E-415B-B9C9-B01DE2C8E4F4},17687.0012365025
2980,KKK,KA302,El Recodo- Centro,Centro,El Recodo,9/01/2021,9,3,25.88057304,E-SOMOS FONTIBON II,10052,K302-2,7,0,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:30 p. m.,1,3,1,3,1,2,3,{32935F6E-804C-44B2-91BC-433B5D3BCF36},25880.5730398813
2983,AAA,KA302,El Recodo- Centro,El Recodo,Centro,9/01/2021,9,3,23.18955711,E-SOMOS FONTIBON II,12165,A302-1,0,7,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:30 p. m.,1,3,1,3,1,2,3,{32D81672-E2DD-472C-A0BB-1DAAB4610A5D},23189.5571096062
2985,ESP,10-12,Mochuelo Bajo - Paraiso,Mochuelo Bajo,Paraiso,23/07/2014,19,19,17.39588764,SUMA CIUDAD BOLIVAR BC,5637,10-12e,11,11,4:00 a. m. - 9:00 p. m.,3:30 a. m. - 9:00 p. m.,4:30 a. m. - 8:00 p. m.,1,4,4,3,1,2,3,{340F0C5D-24B3-4262-9090-19EE701D6EB8},17395.8876381139
2988,ALI,5-3,Serena - Cerezos,Granja,Serena Cerezos,17/01/2022,10,10,6.41490869,ESTE ES MI BUS CALLE 80 CO01,6815,5-3a,4,4,4:30 a. m. - 12:20 a. m.,5:00 a. m. - 12:20 a. m.,5:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{35A08FBD-C39F-467C-A82F-4B4CD8F933B5},6414.90868626708
2991,ESP,6-18,San Carlos - Pasquilla,Portal Tunal,San Carlos - Pasquilla,5/10/2013,19,19,48.23561043,SUMA CIUDAD BOLIVAR BC,7666,6-18e,11,11,3:10 a. m. - 9:30 p. m.,3:10 a. m. - 9:30 p. m.,4:10 a. m. - 9:30 p. m.,1,4,4,3,1,2,3,{363BDB67-5EBD-4FD4-B401-E9553C5EBB9E},48235.6104268903
2992,COM,15-3,Horacio Orjuela,Av. 1 Mayo,Horacio Orjuela,27/10/2012,4,4,9.64621073,CONSORCIO EXPRESS SAN CRISTOBALD,6017,15-3c,13,13,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 9:30 p. m.,1,4,2,3,1,2,3,{36BC63DC-44FD-4054-BD7C-7059C1581F11},9646.21072512033
2993,ALI,7-3,Ingles,Calle 40 Sur,Ingles,31/01/2022,18,18,6.12919845,SUMA CIUDAD BOLIVAR BC,8297,7-3a,11,11,4:10 a. m. - 12:30 a. m.,4:10 a. m. - 12:30 a. m.,4:10 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{36F9C076-0513-42FF-9295-3B13C3EAA761},6129.1984532208
2994,COM,13-4,Diana Turbay - Est. Av. 1 Mayo,Est. Av. 1 De Mayo,Diana Turbay,17/09/2014,4,4,14.18180359,CONSORCIO EXPRESS USAQUEN N,5713,13-4c,13,13,3:30 a. m. - 11:00 p. m.,3:30 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,5,2,3,1,2,3,{379F84FA-172C-4066-BC20-8F826A3A0025},14181.8035853162
2995,ALI,6-5C,Arabia,Portal Tunal,Arabia,26/03/2015,6,6,12.94175732,SUMA CIUDAD BOLIVAR BC,11001,6-5Ca,11,11,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,,1,3,2,2,1,2,3,{37D35A68-DFFE-4082-8FE9-F24A4CBFFC8C},12941.7573232664
2998,ALI,2-2,Jardínes,Portal Norte,Jardines,26/03/2015,1,1,8.22492166,CONSORCIO EXPRESS USAQUEN N,10930,2-2a,2,2,4:30 a. m. - 12:30 a. m.,5:00 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{3835B664-EBC1-4D35-8B13-1FFDE9E83A93},8224.92165993749
